transport,buffer_m,n_tracts,pct_low_opp,pct_high_opp,mean_noise_db
Highway,0,0,NA,NA,NA
Highway,100,4083,43.57090374724467,38.06024981631154,29.672256586061653
Highway,250,9824,44.645765472312704,37.02157980456026,29.424839190881258
Highway,500,20926,45.183025900793275,36.6290738793845,26.978471837592274
Highway,750,30040,43.715046604527295,37.656458055925434,25.048521834030975
Highway,1000,37609,42.39676673136749,38.85506128852136,23.378645903001317
Bus,0,0,NA,NA,NA
Bus,100,10093,48.19181611017537,34.063212127216886,29.04727979088315
Bus,250,19583,47.556554154113265,34.69335648266353,27.98923592981365
Bus,500,30138,46.24062645165572,35.87829318468379,25.776007897211304
Bus,750,35718,43.97782630606417,37.73727532336637,24.343532331733506
Bus,1000,39808,42.26788585209003,39.265976688102896,23.284803403370923
Rail,0,0,NA,NA,NA
Rail,100,1988,54.47686116700201,26.86116700201207,30.566908569340395
Rail,250,4912,54.865635179153095,27.01547231270358,31.070106740879172
Rail,500,10887,53.706255166712594,27.776246899972445,31.122728838894826
Rail,750,16608,52.36632947976878,29.196772639691716,29.689823469502688
Rail,1000,21619,50.93667607197373,30.41306258383829,28.076425554186667
